DATE,EC,FS,GP,KZN,LP,MP,NC,NW,WC,UNKNOWN,TOTAL
2020-03-18,0.0,0.0,61.0,19.0,1.0,4.0,0.0,0.0,31.0,0.0,116.0
2020-03-31,12.0,74.0,,179.0,14.0,12.0,6.0,8.0,325.0,90.0,1353.0
2020-03-16,0.0,0.0,31.0,12.0,1.0,2.0,0.0,0.0,16.0,0.0,62.0
2020-03-25,2.0,30.0,319.0,91.0,unknown,8.0,2.0,5.0,183.0,65.0,709.0
2020-04-01,15.0,76.0,645.0,186.0,14.0,12.0,7.0,9.0,326.0,nan,1380.0
2020-03-26,5.0,49.0,409.0,134.0,6.0,9.0,2.0,5.0,229.0,79.0,927.0
2020-03-27,,,,nan,nan,,nan,,,nan,1170.0
NAN,,0.0,0.0,1.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,1.0
2020-03-28,10.0,68.0,533.0,156.0,11.0,10.0,nan,6.0,271.0,117.0,1187.0
2020-03-07,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,NAN
2020-03-09,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-03-24,2.0,18.0,302.0,80.0,nan,,2.0,5.0,113.0,19.0,554.0
2020-03-08,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-23,2.0,13.0,207.0,60.0,4.0,9.0,2.0,4.0,100.0,1.0,402.0
2020-03-28,10.0,68.0,533.0,156.0,11.0,10.0,nan,6.0,271.0,117.0,UNKNOWN
2020-03-13,0.0,0.0,10.0,10.0,0.0,1.0,0.0,0.0,3.0,UNKNOWN,24.0
2020-03-29,12.0,,584.0,NAN,12.0,11.0,6.0,6.0,,100.0,1280.0
2020-03-19,0.0,0.0,76.0,22.0,1.0,5.0,0.0,0.0,46.0,0.0,150.0
2020-03-20,0.0,7.0,109.0,23.0,1.0,5.0,0.0,0.0,57.0,0.0,202.0
2020-03-15,0.0,0.0,24.0,12.0,0.0,1.0,0.0,0.0,14.0,0.0,51.0
2020-03-30,12.0,72.0,618.0,unknown,11.0,11.0,3.0,,324.0,96.0,1326.0
2020-03-17,0.0,0.0,45.0,16.0,1.0,2.0,0.0,0.0,21.0,0.0,85.0
2020-03-11,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0
2020-04-02,17.0,84.0,663.0,206.0,16.0,13.0,7.0,9.0,353.0,94.0,1462.0
2020-03-12,0.0,0.0,6.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0
2020-03-14,0.0,0.0,17.0,11.0,0.0,1.0,0.0,0.0,9.0,0.0,38.0
2020-03-22,2.0,9.0,132.0,35.0,2.0,5.0,0.0,0.0,89.0,0.0,274.0
2020-03-21,1.0,7.0,125.0,26.0,1.0,5.0,0.0,0.0,75.0,0.0,240.0
